Gene,P_all,P_sub,P_vis,P_status,P_location,P_interaction
ERMAP,0.716627864886164,0.70450096134187,0.363065165608257,0.676190442720266,0.280594800413561,0.360990797371346
TIE1,0.392072862677876,0.367016191118932,0.693288933704578,0.358957151047156,0.241769496199986,0.713531224392613
CDC20,0.38262544816333,0.292536448677123,0.964449537018577,0.393316528923466,3.88613918193416e-05,0.343743984830789
PTPRF,0.37542034962473,0.373883443113901,0.313605760468276,0.189633725893998,5.06538402667631e-05,0.631001801590572
KDM4A,0.621957387635284,0.385452443078396,0.866398522038294,0.562617298531456,0.126161702679345,0.760053049599992
DMAP1,0.722411700183016,0.731399970126659,0.584979974764328,0.779967944048123,0.099167442098329,0.524811316167813
RNF220,0.882032083948432,0.729278957057605,0.788983803233022,0.970626388459432,0.0202777652361734,0.678913350071378
KIF2C,0.596967240556031,0.57942330966709,0.735842110143627,0.508904134972715,0.0360810008534584,0.776156197881465
UROD,0.695264495549618,0.841189369889287,0.574963708593989,0.616155886448169,0.0597538625487511,0.88687158723788
TOE1,0.515692012401662,0.977650947191409,0.361556754089703,0.461260258514311,0.130800693831489,0.465897561783418
AKR1A1,0.884444296666209,0.726661974628533,0.738110645868382,0.963614146896949,0.0394272908979423,0.624318913521717
TMEM69,0.756814213351665,0.69992964213228,0.93634435693499,0.821644480663132,0.0657017595187894,0.729107593069344
MAST2,0.256739059587378,0.833747277177768,0.102058386315734,0.278853168637526,0.0236958644547444,0.186189037320221
TSPAN1,0.26568419517289,0.344350694991253,0.0159751867128845,0.194573123164517,0.0198362653026381,0.0137795111972985
LURAP1,0.645473393865302,0.497863668042202,0.84132154646313,0.522123172656236,0.00736949173636082,0.699739911349783
NSUN4,0.746843496391501,0.913410935438761,0.917796903062393,0.878861235639254,1.48656835860394e-06,0.975236167966041
CYP4X1,0.471234450747862,0.232223696493786,0.81277943823108,0.302866112378347,0.00041509654369399,0.458930129641796
CYP4Z1,0.815297174043524,0.748311119932048,0.880488995468377,0.750685572960711,0.116969404768252,0.931610635329774
CDKN2C,0.476003147296611,0.319753117042842,0.642608835387048,0.525540029036863,0.00454262159963781,0.254583964256549
MIR4421,0.68347957092804,0.991702983645097,0.594641209471839,0.710504901343836,0.510340119880763,0.716008068818642
MIR6500,0.988709279950914,0.939569762505348,0.92080897139132,0.898514811006379,0.00665721127529601,0.977238619179023
OSBPL9,0.932962743651362,0.607984284957168,0.867494155252953,0.900696371595165,0.413314739378587,0.676581699240555
ZFYVE9,0.957612247770319,0.413513134654159,0.441193689390309,0.858169892010086,0.0187499617296775,0.25532930118663
PLA2G12AP1,0.812712495125465,0.658091498772685,0.372847390875646,0.687933123228939,0.00644996656158342,0.339516874040152
SHISAL2A,0.486939244100833,0.461225999728605,0.575421750622558,0.369721842195724,0.00685930533711411,0.998703863406982
ZYG11B,0.694519076213038,0.442820136094313,0.326020995052781,0.665174726144451,0.401417244652615,0.219573509299249
SCP2,0.919242919796434,0.910498673538472,0.95173629425649,0.980527047020823,0.0107259246217643,0.904495831989669
PODN,0.749788041274031,0.608905417412736,0.922488091187262,0.635310707984507,0.0116809266615569,0.709227142354704
CPT2,0.535931371191485,0.426288609534161,0.975004316241334,0.594539619203059,0.00651376353021597,0.548131769152352
LRRC42,0.568114086332863,0.793298518204388,0.549903247787562,0.563014003864443,0.760194111291846,0.906805730675307
MRPL37,0.827235023807772,0.876256731452494,0.820533509108036,0.953651224413388,0.000279444112559936,0.786362464875971
PRKAA2,0.418347706013737,0.425224799447038,0.823685836460833,0.450908243800514,0.24027410882403,0.629766606736163
FGGY,0.130680522413776,0.319643406598137,0.294731186954795,0.142065344112584,0.0637643529658609,0.878453842995696
PATJ,0.334210826773659,0.283515308788714,0.707779813305399,0.361434200859286,0.00516108283633611,0.753409963092775
USP1,0.62865849437641,0.669970600369339,0.888861115424612,0.707739440831899,0.000842699515181162,0.869903601272238
ALG6,0.237973200184593,0.578125745976279,0.25733942038475,0.212819199486332,0.223777901937329,0.655234916471364
PGM1,0.830352716879176,0.520516367807275,0.8719372792539,0.825687419055978,0.856711565771805,0.616507563069873
ROR1,0.615687679918371,0.26275653935931,0.892513253048999,0.587078139049608,0.38618456702673,0.429669513328771
CACHD1,0.292501130669924,0.377685077357495,0.462666563042426,0.24210762255105,0.077528262117312,0.727258298961856
RAVER2,0.728431618106965,0.507080587426169,0.728463290047531,0.715873368364915,0.674059902057053,0.4410788794333
DNAJC6,0.37650434052479,0.995360730442427,0.301328303801258,0.39315747337154,0.69563606445937,0.422794491557361
PDE4B,0.884685196439034,0.959719758182034,0.95429692050465,0.941748093020369,6.03754716611369e-06,0.982663510656581
SGIP1,0.441083290542722,0.393496041227871,0.544063497352624,0.28612233954422,0.000714509701908785,0.637313968739114
TCTEX1D1,0.869725568672887,0.934684227503435,0.445704341116748,0.781759310071961,0.039883727805668,0.683186786146249
IL23R,0.974931962302415,0.733689011021495,0.784484822449583,0.986987571002553,0.769323712614352,0.664529366213461
IL12RB2,0.945036395021509,0.931506487438963,0.467125713701811,0.705302607640473,1.43491232307915e-06,0.621268950990378
GADD45A,0.976540903456806,0.753147159273539,0.85655700578589,0.975497804641055,0.972297928852216,0.740342169833572
PIN1P1,0.82373993641856,0.795101551098394,0.915603087490421,0.792852799593535,0.413087976090537,0.904916647414345
HHLA3,0.999102951356327,0.564732143702835,0.708422766376584,0.915263494895713,0.0411032819533045,0.500863527963145
CTH,0.368088913576958,0.520939097759472,0.569080868539785,0.390599596689007,0.000498144801418812,0.98064955097186
TYW3,0.600667203717299,0.770867679504195,0.607633627944053,0.54788895573115,0.159024533962037,0.802681722013809
ST6GALNAC3,0.308107125726333,0.629228635393553,0.409930694198365,0.3365915323243,0.0254525494071781,0.779260731095412
NEXN,0.178294668257455,0.465175151309431,0.286808698153809,0.18850577951015,0.79571575508058,0.726705586395965
PTGFR,0.515587784103964,0.700047102600079,0.289085951306689,0.571688003943907,0.00206703258937277,0.811039913494331
IFI44L,0.654737692443474,0.981834629223802,0.423050352154531,0.625768818256925,0.394324222916022,0.620554731043668
IFI44,0.191370930411295,0.734733220691905,0.153259146442809,0.175863765396912,0.316082559645202,0.3862332766938
ADGRL2,0.0732851099753153,0.108189364677497,0.244856933738091,0.0445250554796634,0.0191100079716088,0.601130849253727
PRKACB,0.414309444197778,0.334159467454323,0.841649562804237,0.443198672875969,0.337891147277277,0.630150939368527
DNASE2B,0.757542108976368,0.376412342031894,0.479182217291811,0.882243738382884,2.25103681873211e-05,0.252136778349462
WDR63,0.629793493937794,0.383292023649396,0.994851594242898,0.418024235749036,6.95153318393127e-05,0.399547918511328
LOC646626,0.334241446702448,0.309177806543779,0.751400765882816,0.366155665451846,0.0749865042259907,0.656116079349666
CLCA1,0.0616605104440792,0.363385130727093,0.0692432157697504,0.0440603823716217,0.0639632764614755,0.449916993332483
CLCA4,0.86401875422046,0.0691853154302126,0.17511946134015,0.875317384286722,0.810925025390261,0.0251580002513247
SH3GLB1,0.455770505770394,0.876369597840535,0.260504254881507,0.429709098745227,0.35372604615203,0.34417272578481
LMO4,0.494141639118462,0.508976974713069,0.81043338804095,0.512632604477519,0.679113715642709,0.730546305368083
GBP1P1,0.144741991919242,0.264766010105018,0.286693512757607,0.120867615760276,9.80939408834064e-05,0.908848327279967
ZNF326,0.982075206709785,0.546541900064117,0.565182263116762,0.981597259140643,0.985204191545086,0.400187224052509
CDC7,0.817730234131371,0.783990889501849,0.400462763343265,0.669911726949441,0.00180419551587506,0.433072213627999
KIAA1107,0.69012101220497,0.890620400346024,0.511582838540155,0.700001540318733,0.878102090366748,0.579040740217974
CCDC18,0.190702518048748,0.445940720314966,0.264459802045421,0.178963704610849,0.3896982590096,0.897799545154558
DR1,0.1224219613726,0.889499303179003,0.044759348235359,0.102880822785432,0.157563674056594,0.163030904978592
FNBP1L,0.403797128360869,0.01726055657837,0.873860532620857,0.254309108891328,0.000717391952294144,0.137832582425813
LOC729970,0.571401808811686,0.835740330577978,0.586594391689883,0.580964729808671,0.906827986497504,0.813616254182205
PTBP2,0.803661066562683,0.663544247492866,0.895344232231579,0.815713314815481,0.808834708928301,0.672193998415062
SNX7,0.195857021966742,0.56222448729183,0.178050433998551,0.206850622200499,0.779115707166156,0.827767830236636
PLPPR4,0.23459501606491,0.200765589293566,0.574326898215738,0.176896592431358,0.0336362560942831,0.513546247944175
PALMD,0.36411804288808,0.350082379498038,0.604937984147432,0.303762163427421,0.0661343639132485,0.771044430805024
AGL,0.0549534216041915,0.0281061365272018,0.65160084079757,0.0547694269571861,0.0177256498505473,0.15176852529775
SLC35A3,0.347333083047519,0.283287792836021,0.819133950829969,0.349879688785908,0.863771046951495,0.516348311914663
MFSD14A,0.409275258059377,0.118291685371856,0.656862739467456,0.435267583121186,0.418924341255834,0.142277832296286
TRMT13,0.594720286120384,0.480166871737337,0.744236635251539,0.491305997484051,0.0178278923663824,0.858179324860374
RTCA,0.148587632918912,0.262098294477904,0.315951518168455,0.125565011378487,0.15331225848583,0.890947908085933
VCAM1,0.396782819456145,0.947450975251334,0.238184907223908,0.399332201417933,6.62949173198622e-06,0.486060305181983
LOC102606465,0.966994820680298,0.869432071590966,0.886638593158283,0.984454498167433,0.669591805856511,0.831756769399125
S1PR1,0.141798994674208,0.154973142698352,0.520653027945875,0.133881931738087,0.420238801212607,0.49917360320477
PRMT6,0.121941508520967,0.224190728123075,0.403675550982351,0.134488615671994,0.334469631801434,0.637075744143794
NTNG1,0.0823762300472028,0.00150055124177274,0.157411271271816,0.00481522763747201,4.07698450023807e-08,0.639367960966934
VAV3-AS1,0.404154755012874,0.541795440655024,0.489783107298232,0.353811681004814,0.120158181022164,0.82906440684629
GPSM2,0.230310107497205,0.193148169127498,0.887797291971421,0.246754287175087,0.0128179658952008,0.291369173188485
SCARNA2,0.909223481793406,0.84517202327212,0.618707276095631,0.809212231549251,0.0203094125175107,0.622824422311865
KIAA1324,0.655074127730877,0.372186502813465,0.986746148737123,0.543997747812266,0.0134491078953229,0.510951792196271
SARS,0.177701313298989,0.55126187103633,0.100346969605832,0.131675244821763,0.0391962572604235,0.636347495662419
CYB561D1,0.809505499511113,0.717355856557333,0.477978494480399,0.855859961079122,0.230168578882704,0.46479393327688
CSF1,0.34240053260973,0.250189536415048,0.144648632595222,0.0590004168267018,1.8693592611723e-09,0.855581923377733
CHI3L2,0.292079642859102,0.294768537803626,0.909257095329721,0.31584239660453,0.0104022281392925,0.342380609912337
PIFO,0.268684746430456,0.57577471743024,0.337099553179548,0.293185556552892,0.206195568918999,0.927664975433798
ATP5PB,0.38235771516928,0.436746468388053,0.711005884937529,0.394881548399888,0.831489659194116,0.686232764885109
C1orf162,0.938136461139177,0.677422536816199,0.838541283222552,0.87751026081304,0.138255640185068,0.652698895581504
DDX20,0.99371815403345,0.76023258261743,0.888889323500218,0.927238525293667,0.102414191959499,0.756343394586967
WNT2B,0.948272545207679,0.90961956694271,0.98849193432828,0.939548412311136,0.0054208650142447,0.956640574324362
SLC16A1-AS1,0.486657210528601,0.797327801554422,0.307179509435996,0.399337227354795,0.0290788282706215,0.702570522076358
LRIG2,0.253527910175946,0.527382656857476,0.380045470590168,0.277888039884584,0.100741708422998,0.926292358980414
DCLRE1B,0.741933455327792,0.615623596183513,0.787266356457235,0.822106910062047,0.0145928196915927,0.564254711366261
VANGL1,0.506656592736634,0.498151528330607,0.847468195264276,0.524478719300673,1.19022594756225e-07,0.692969692005416
SLC22A15,0.610247272508402,0.15755534410131,0.698510964650654,0.614521482711681,0.977999316771138,0.243311949394498
PTGFRN,0.350748926531997,0.777993673305536,0.338987762084419,0.37178632313567,0.524815945500318,0.660395149613598
TTF2,0.82470225868747,0.927843905169459,0.836025086132359,0.832930006868499,0.882802571874808,0.949741478154424
MAN1A2,0.894532675983048,0.626174900580532,0.823909069334544,0.852684273976199,0.292522467343897,0.60763131260434
TENT5C,0.691225500683706,0.85945318942072,0.344851736364856,0.542172838625284,0.0020554370980218,0.418311230975277
WDR3,0.0773854194115597,0.0323744352410747,0.420585848506693,0.0765114912815955,0.599615907527383,0.666774221967977
WARS2-AS1,0.407958347124619,0.520484708775525,0.355987403649902,0.252164666825366,0.000514171149214236,0.707162225597024
SRGAP2C,0.740968707351523,0.942705136814881,0.384746130830539,0.51686008022666,3.01342523181039e-05,0.482795948092951
EMBP1,0.890429345161639,0.915992324644794,0.360144913435979,0.675642590826875,1.83573356778778e-05,0.566889450890925
SRGAP2D,0.886991159817901,0.771176687400035,0.432320055205876,0.683987284384636,4.13982716072442e-05,0.441501503607428
RNVU1-15,0.541134790468733,0.509270413312793,0.925234460754339,0.602065459657842,0.00101508251323453,0.68802527961449
LSP1P5,0.751180338734783,0.743196284677411,0.649543027546505,0.571847089824609,0.000372875216622935,0.823906530069459
FAM72D,0.502742950796251,0.720581379617598,0.334739718646857,0.487367069862185,0.536895252576771,0.319643791240756
RNVU1-14,0.926857757493861,0.915737356884246,0.783121854671543,0.913894086808425,8.21944004100626e-05,0.794916540020786
LINC01719,0.786642827720431,0.789630573944857,0.990149559155612,0.826769961687275,0.304278377516667,0.809481554663082
HYDIN2,0.624187639488134,0.772516075977794,0.728070957034446,0.652494017518974,0.473600181860298,0.966222046360132
RNVU1-3,0.244582494436969,0.332779363454343,0.38130590719123,0.225947715879484,4.53417901450359e-05,0.71773350584612
FCGR1A,0.12308334124675,0.224399375939933,0.223785086700704,0.0817374253996571,6.63232588249616e-06,0.749502754891676
C1orf54,0.598109580424276,0.751289427245983,0.724156465737523,0.632215861707548,0.347398045244011,0.923602289324286
CIART,0.132677731540919,0.0156314195668181,0.894661599223946,0.145765744169833,0.115019073305963,0.185400436551333
ECM1,0.174429591961107,0.799374791787623,0.118709259302331,0.171462157591748,0.00146939016624756,0.332295164032908
FALEC,0.491304979745578,0.415394794955912,0.929353627511365,0.494285511799972,0.915643391620393,0.552146278039383
ANXA9,0.283562558396622,0.427202903512971,0.242137881431515,0.149923109122688,0.000377791007481854,0.655195718264409
MLLT11,0.705227237899348,0.275529768198424,0.696544082357181,0.817282279216278,5.26682078276226e-06,0.360605247990069
PSMD4,0.897844373644908,0.838635458448575,0.961414555264448,0.868143441798446,0.443582474332965,0.924292801696002
ZNF687,0.844356299212068,0.615477521306946,0.946415309480758,0.874901921361143,0.455333093763596,0.775175252941978
GBAT2,0.738272249451366,0.472245213465412,0.872360127672294,0.747948546319062,0.872545887477768,0.555400957170933
CGN,0.438305493618507,0.508706417317741,0.141199864015776,0.446768292010236,2.17150393635744e-06,0.121799547418584
TUFT1,0.983295644225602,0.627876638769748,0.876216585638019,0.838998969547832,0.000915483716473123,0.653722138101401
MIR554,0.411756165306146,0.560690701670419,0.106743447991119,0.387406758994558,0.353589169972715,0.112608470085127
SPRR3,0.263279195162904,0.782248356429519,0.112432953581181,0.183579058053537,0.0113382251101838,0.386234601271942
LOR,0.955823346199592,0.366233336582997,0.46578139970148,0.979655890206611,0.107362487184802,0.250024086311219
S100A9,0.600648066705947,0.414329312748028,0.73024775175663,0.380845896343402,4.22436835310034e-05,0.622334341358897
SNAPIN,0.641380593527018,0.701205423782171,0.257762625436773,0.680455925969367,0.277929654871967,0.319514520464203
NPR1,0.737024948233299,0.629420513897946,0.433234892917331,0.794306374819931,0.106271273820205,0.368410190747964
IL6R,0.811392089704255,0.888180182173089,0.666752496589077,0.802231470237264,0.763771836503094,0.678919633533333
TDRD10,0.972321766283423,0.911678674958154,0.796942923100846,0.786334362649183,4.92772586495888e-05,0.916463128583991
CKS1B,0.904441701540067,0.73759629438567,0.763361582796431,0.64605074984799,7.87742462754303e-07,0.963427076683221
ZBTB7B,0.44014347571252,0.869190113113161,0.433140085820724,0.477156244730072,0.160750580566116,0.652710326810878
SLC50A1,0.832970097885,0.795686199584523,0.971505677670886,0.889411324898773,0.139414526057994,0.841483450530243
MIR92B,0.528015313354921,0.868943353636008,0.437782734803856,0.550667873631512,0.57860875803506,0.772457091194026
FDPS,0.941466766362562,0.567930441821527,0.690849967285499,0.879617528710415,1.82083801436485e-05,0.482137600660458
SYT11,0.881374152015932,0.939260161026352,0.68375398970029,0.700431019441813,0.00018067158046875,0.784664548721032
LAMTOR2,0.947271977436641,0.900956559347702,0.830694779376046,0.975889068701811,0.0544317129482051,0.819009888322343
LMNA,0.685998274930546,0.967576535618796,0.719075128943307,0.767311013075048,0.00517694732671352,0.749687135107939
SEMA4A,0.583399330853113,0.651286413166521,0.885880689292524,0.646214943141555,0.0135722897197357,0.760048396463586
SLC25A44,0.29205079978412,0.26937374997212,0.817924384956522,0.314351379311019,0.386686755824173,0.452868181574168
NAXE,0.685539359671531,0.480093845846642,0.902000178239736,0.649548055225499,0.319645331542057,0.523134532094985
PEAR1,0.784518009438173,0.412916113876486,0.602801292083648,0.744301378096161,0.295496982055449,0.321632297444368
KIRREL1,0.0810208412681628,0.26806556706187,0.142121186997527,0.0750398303073032,0.368289425486571,0.855044624307054
CD1A,0.697253084743555,0.845359867903633,0.379677461852636,0.687759918624811,0.720154634726804,0.492141045899923
CD1C,0.974996500190649,0.871157523203489,0.741319346004108,0.987146861852841,0.767488994452951,0.762051838864316
CD1E,0.721676593519887,0.958769523111896,0.700561192251912,0.782072819171914,0.0796204925492014,0.860487568536283
MNDA,0.638116667641957,0.694576745656014,0.406811612573932,0.717954416664958,0.00125688988056364,0.384511791297999
PYHIN1,0.122860755400876,0.428202315225343,0.158417083260514,0.129255355035732,0.943618828996383,0.878674875581437
FCER1A,0.482751104106748,0.652634286434071,0.584845288500602,0.517771162121281,0.25272237981662,0.820758698854696
DUSP23,0.172915983012587,0.136845954218731,0.685622682157463,0.147989304703426,0.161810690160574,0.303834514973809
SLAMF8,0.765960485598279,0.624108494543556,0.816359223833602,0.84278067277788,0.0253427697256042,0.596536997540192
