Gene,t_all,t_sub,t_vis,t_status,t_location,t_interaction
MRPL27,0.753748258998845,1.02627884578008,0.152949147502471,0.889457790388059,-2.08297489384483,-0.731963806569757
COX11,-0.176573407110482,-0.233956693698353,0.0791336847100685,-0.0491727533334789,-2.85840401847628,0.188058664782565
MMD,-0.0952872134016244,-0.319012842779219,-0.113385496781847,-0.313204472258204,4.00959632952325,0.168111628640736
TMEM100,-0.240360932108513,-0.652722636306836,0.143813817867921,-0.334544007105952,1.75733261004301,0.561992918415661
COIL,-0.819239707730471,-0.496283047692653,-0.577260573271919,-0.770564319559739,-0.91785667503085,-0.108052174748863
LOC101927557,-0.54363293217893,-0.480597858813306,-0.388058576537623,-0.623901046739524,1.45764051974083,0.108206733398195
MRPS23,-0.177459339536841,0.529338610939434,-0.73595284917333,-0.071270879880988,-2.31402180271957,-0.877448112061561
MIR142,-0.351293165042951,-0.462156546322329,-0.386312725665482,-0.589471097192576,3.68764356661819,-0.0207256886300328
SEPTIN4,0.299827374231215,-0.0618528049802682,0.493838327490227,0.364554785074035,-1.25529404570055,0.416258688945999
TEX14,0.577714266901736,0.593415394865393,0.152640641617612,0.481078144536626,3.90171306655926,-0.253707037416683
SKA2,0.833223947893244,-0.0240112643356304,1.24819918050201,0.903983135995805,-1.28978211247623,0.889806434483764
TUBD1,1.31978411534188,1.86840451213356,0.229444719407426,1.32319988012081,-0.395248145739707,-1.02940069857995
MIR4737,-1.07228444421236,-0.58980430796974,-0.820449533293357,-1.02185745192376,-0.956395506161131,-0.221314616917404
WFDC21P,-0.671445338421791,-0.559942223118627,-0.452542600014838,-0.720096676444333,0.991582490052778,0.0709495150942902
USP32,0.547472446249043,0.0511499579903331,0.520157185646928,0.446470418405985,3.65614969698925,0.356508192442469
APPBP2,0.634156322132338,-1.03942290796991,1.49749818371512,0.612083267605985,0.26971623705574,1.7920548566558
BRIP1,-0.669889127987323,-1.03927418001324,0.212713756513064,-0.63977422985357,-0.442613878865676,0.953857985415484
INTS2,-0.618070108150142,-0.0128353531653065,-0.657796744749704,-0.536953828190544,-2.24087009674751,-0.489813488511962
CYB561,0.269087244823849,-0.247409415640058,0.571771307094277,0.303993783646779,-0.736423654700883,0.589075879689378
FTSJ3,-1.06627478121315,-0.749508924012808,-0.658102393343897,-1.00975160553558,-1.28098246201177,0.126868243548585
SMARCD2,-0.154147075392128,-0.306218756613886,0.15324529420782,-0.0862341840393841,-1.39020873837215,0.321149152949296
SCN4A,1.06514063392509,1.08403512038427,0.696275515712193,1.24578567608564,-2.37496158710665,-0.225194200631574
ICAM2,0.822596648653526,0.582953959626161,0.474683504102721,0.751634813039017,2.65781823336975,-0.0669190001136253
ERN1,0.642062128792148,0.5571833164971,0.164517339158842,0.555093014922852,3.07059446624426,-0.384030462105354
TEX2,0.221154057511591,0.210760711309494,0.738743528622921,0.69059768283199,-7.10204157449023,0.359735820491704
PECAM1,1.04804235683565,0.655405046516345,0.847349261817079,1.04949861305354,-0.306165671073788,-0.061702077174435
POLG2,0.688629445488015,0.920325759816692,0.155162296837884,0.671357126322481,0.149912764873708,-0.446561055160585
LRRC37A3,-0.534775500491745,-0.333687034375446,-0.566285548540662,-0.655057941239119,2.00188156008527,-0.177670880203727
PSMD12,-0.356411531805151,0.0465319814086929,-0.38503230676551,-0.272997620420794,-1.89603210342359,-0.315090349174062
MIR548D2,0.312085556119531,0.523862315053814,-0.261077282527567,0.209702017590322,2.4250793670361,-0.573339554063447
SLC16A6,-0.580371079640607,-0.395384131681698,-0.272404204093336,-0.484406917829961,-3.59915417197829,0.149243902041629
WIPI1,0.510737128920207,-0.307165810933849,1.52034594955034,0.64325410366398,-2.17266549215499,1.1118776692403
ABCA8,0.000641279796815652,-0.25624255432384,0.44511532223414,0.0200763668633469,-0.388375374340135,0.453936372635391
ABCA9,-0.432375948521764,-0.216370041316592,-0.498656069942213,-0.45490188367397,0.541392830379122,-0.0591088167801199
ABCA6,0.0743881878250461,0.100813892557663,-0.176989232522944,-0.0115147848223743,1.75405981618294,-0.180595370894826
MIR4524A,-0.356611158665599,-0.512508777294196,0.0155060217227805,-0.383364809884347,0.603143630089111,0.418851651787945
SLC39A11,0.409337708304582,-0.997533405606351,1.46053607005787,0.547660984008308,-2.31674648002217,1.73949385115104
MGC16275,-0.788145819269036,-0.958473531104696,-0.139840410752821,-0.719769684145117,-1.81044293668001,0.532311513421415
CD300LB,0.134974795860354,-0.363413545348526,0.720720430971621,0.286640915633073,-2.80049451084137,0.76322494508314
CD300C,-1.20744896516911,-1.01489837050604,-0.593638614117645,-1.17962768638944,-0.222284974505553,0.504683408092538
CD300E,0.55179984774293,0.378746912544106,0.254265453639532,0.454387077806961,3.18605307670807,-0.113819460334221
CD300LF,-0.293090815349199,-1.35373415969267,0.526256174619562,-0.422843554949986,2.28345204348122,1.27475444216188
HID1,0.0505556813523134,-0.475226701033372,0.570601823984438,0.0932475316216297,-0.857552943570121,0.737624805395561
ATP5PD,0.11685606280311,0.254893040025571,0.029370451035077,0.185723132523102,-1.35318911746446,-0.147033413918444
NT5C,0.12156986504722,0.683912675371097,-0.515454053283413,0.158381402186949,-0.752248345404013,-0.861981283018853
MIF4GD,0.172415186579251,0.441345024519737,0.0453357423100882,0.249602551089627,-1.49119247456952,-0.178903576335243
SLC25A19,1.01480862025802,1.06117334291374,0.346819005729489,0.958804839485338,2.68574849679077,-0.466538220642356
GRB2,0.470984971494804,0.216006486551129,0.355655175752139,0.419490716073988,1.02239907927397,0.134312120229706
CASKIN2,0.6354179876411,0.670478519852703,0.370330157383812,0.774796389142979,-2.18521749213536,-0.415758891227539
RECQL5,-0.254237290425858,-0.619131618942079,0.0332819679020669,-0.404553182512904,2.62873994334893,0.469428282266549
TRIM47,0.286727292611447,1.0134519103952,0.170563446245595,0.681814486376221,-5.8122754002234,-0.418012173438614
TRIM65,-1.43782945527267,-1.75739091053141,-0.170802353374964,-1.42254813534846,0.106385826613326,1.28340545575109
PRPSAP1,0.126445191676595,0.818989066566221,-0.638330020077534,0.158540422266726,-0.662942154178542,-1.04345472455546
RHBDF2,0.727042291674834,1.17858991740905,0.0983747835887733,0.675877757674767,4.94612798211588,-0.532991129081464
MXRA7,-0.206757265244211,0.00104066080375668,-0.162154442211621,-0.0956435745506762,-2.48664834395272,-0.0914146926681658
JMJD6,0.416514528650478,0.492183495384267,-0.0857607467823455,0.31623497608965,2.60043992837907,-0.442487201100934
DNAH17,-0.325531984513299,-0.499145249140837,-0.263601529741994,-0.511928899000694,3.05474402608064,0.102791135843217
SCAT1,0.863712552249978,0.757891850973504,0.440509048552189,0.796857807572549,2.79734427817787,-0.0931824634481302
USP36,-0.0611270053810614,0.0171156188391224,-0.685715899328145,-0.385864647711893,6.0152906258774,-0.390757141411367
EIF4A3,0.584820826323859,0.643321369046424,0.0929803482681042,0.501365045205616,5.47683530368955,-0.381595838287956
MIR338,0.11159598430374,0.00732640234033001,-0.000294203741991312,0.00389545649364029,2.26659187583683,-0.00452903260715284
NPLOC4,-1.5917600509528,-1.34503800623568,-0.97734236687458,-1.5659320897266,-2.39293200433687,-0.0260567915227542
PDE6G,-0.763546643354083,-0.421910846155035,-0.813217703350007,-0.77213804633831,0.365407520578615,0.0181075489434115
